UUID,gpsLongitude,gpsLatitude,Site Name
Westminster,-0.131931,51.49467,London Westminster
MaryleboneRoad,-0.154611,51.52253,London Marylebone Road
NKensington,-0.213492,51.52105,London N. Kensington
Bloomsbury,-0.125889,51.52229,London Bloomsbury
CamdenKerbside,-0.175269,51.54421,Camden Kerbside
HonorOakPark,-0.037418,51.449674,London Honor Oak Park
TeddingtonBushyPark,-0.345606,51.425286,London Teddington Bushy Park
Eltham,0.070766,51.45258,London Eltham
Harlington,-0.441614,51.48879,London Harlington
Bexley,0.184806,51.46603,London Bexley
