UUID,gpsLongitude,gpsLatitude,Site Name,class
BL0,-0.1258,51.5222,Bloomsbury,urban
BT4,-0.258,51.5524,Brent Ikea,traffic
CD1,-0.1752,51.5442,Swiss Cottage,traffic
KF1,-0.2134,51.521,North Kensington FIDAS,urban
MY7,-0.1546,51.5225,Marylebone Road,traffic
WM0,-0.1319,51.4946,Horseferry Road,traffic
WMD,-0.1471,51.4922,Elizabeth Bridge,traffic
HF4,-0.2247,51.5045,HF Shep Bush,traffic
HF5,-0.3101,51.4894,Hounslow Brentford,traffic
HS4,-0.2573,51.4925,Hounslow Chiswick,urban
KC2,-0.1788,51.4955,RBKC Cromwell Road,traffic
